HITId,Input.text,positive_label,negative_label
356TQKY9XF54YTVJNOTSOWIS9OA788,Back on bags. https://t.co/bmL72h3o4L,friends,coworkers
3DQYSJDTYLJFM9B1I4JQA5R2MKNXES,Evidently I got a natural high,friends,specific organization
3JMNNNO3B1C82TUVFFS36L46GFS2W3,Never forget always remember,general internet community,specific organization
3PZDSVZ3J5PSID04RSK43HOD7HJ4N9,You know nothing Jon Snow... #ishereallydead https://t.co/5LtTCWJiLH,general internet community,coworkers
3LEG2HW4UFV6R780PQI32XI6LC1F2H,@Ro_Z_gASS Told you I'd be here today,friends,general internet community
31ANT7FQN8AI40IT2Z813PXVL165H7,@wolfblitzer  sanders must support Hillary now. No use for in fighting. He can promote his ideas by compromising,general internet community,coworkers
3W0KKJIARRHST8236II1S1NEF8AK8R,"""you know you guys have hit rock bottom when you make jokes about Kaiser Wilhelm"" -@lanthierjeremy",friends,general internet community
373L46LKP7EHDPYMXMFSHRWSVJ4KJB,Until next year.,friends,specific organization
3MXX6RQ9EVDSLYCH77XW76T87WK4P5,If I don't jump good Monday its my moms fault,friends,specific organization
39KV3A5D18FMHDAS1MZX5NITLIHS7T,"I love wearing makeup. Insecurities are so real. So when someone compliments me with no makeup on and a t shirt, it means so much.",general internet community,specific organization
3P7RGTLO6EL6CWVI3G2FOST95WAKAV,"O'Reilly Auto Parts: Parts Delivery (#YPSILANTI, MI) https://t.co/u7zmood8NL #Transportation #Job #Jobs #Hiring #CareerArc",general internet community,friends
3SU800BH860C287BMQ33KFHCB5UUQ9,@Ieshhhh shit idk what to say so imma cry for ya and say a prayer lol https://t.co/6nLlKc6WOw,friends,specific organization
3TC2K6WK9GAXCSYDHCCXS51KY8O28N,I gotta start working in cheaper areas. Food for lunch is getting expensive.,coworkers,specific organization
3GONHBMNHV623S3T0KVUKYCM3MBZMF,Correction it's 3 pm and I'm sober wth,friends,coworkers
37VHPF5VYCBAAAQFE5134IA6AZ28C3,I most definitely was. You tryna make something outta nothing https://t.co/8097JbcIld,friends,general internet community
3YZ7A3YHR517U9W9DTK0734XUCN5SS,in love with everything about you,friends,specific organization
3UYRNV2KIT7T1EN63VAHKT4I93FN8Z,When you don't go to school cuz ur sick but you go to stop n shop to get a prescription and see your gym teacher there,friends,coworkers
3087LXLJ6MOZVX5MA3EPJ9PROEHF0X,@restinpeaceYaYa lol just gotta finish it,friends,specific organization
33Q5P9PUSPUPU6R2NV1GH27A987ZCX,@WIRED I don't hate weed as much as I hate Stoners. But they both suck.,specific organization,family
3R5OYNIC2CHC2JR7M8Y4FE50NV1PTM,"#Clerical in #Houston, TX: Regional Treatment Options Program Specialist: Renal Care at Fresenius Medical Care https://t.co/V3mRJDHme0",general internet community,friends
3GL25Y68432DYX3EZ279NDWBVMEXMH,That was yellow tho,friends,specific organization
3URJ6VVYUPVA0Y0GS7KHI6OIXRO4OO,@solooodoloooo chill fuckin dick,friends,family
3VP28W7DUNSWXIBCEXRHP8SD6LZZF8,This has to be the slowest week of my life,friends,specific organization
3A3KKYU7P3PY9XYOPXBNLUI4MK8MWD,@knguyen I met him in real life a few months ago at a bar in San Francisco.,friends,specific organization
3PUOXASB57BNW8KZBBRPFC623N4Z9G,"@QuintonPalms correct, I'm bouta do  a Yankee hat next",friends,specific organization
3BFNCI9LYKYIXWPDB7YWXFAHT2I73G,San Francisco just became the first big US city to require solar panels on new buildings https://t.co/7khO2G8oLN,general internet community,friends
306W7JMRYY6R05Y90558TY4OSE28BW,@YesJulz  hey can you check your mails. I emailed you for a booking. Thank you,friends,specific organization
