text,url
@sportz5176 thanks buddy.,twitter.com/anyuser/status/727977308116553730
"In-House Counsel Jobs | JDHUNTR: Attorney Jobs-JDHUNTR-14801 Senior Counsel, Real... (#VariousUSCities, US) https://t.co/0wraaQe9F0 #Legal",twitter.com/anyuser/status/727977308741468160
I wish I was cool like Ryan and Alyssa to keep driving past Brendon's in a P.O.S truck lol grow up,twitter.com/anyuser/status/727977308729004033
stressed isn't even a good enough word to describe me right now,twitter.com/anyuser/status/727977309144289281
"#CareerArc #Retail #Job alert: Retail Store Positions | CVS Health | #ElPaso, TX https://t.co/7tlG2qz5rx #Jobs #Hiring",twitter.com/anyuser/status/727977309081247744
@DjStatic_973 that's not nice,twitter.com/anyuser/status/727977309152542720
EGG-ZACTLY  https://t.co/6lODVkDoPc,twitter.com/anyuser/status/727977308619833344
@BASEDJESUS my family boutta mortar strike him from Tijuana,twitter.com/anyuser/status/727977309739749377
I'd rather go to my ex's house than go back to work .,twitter.com/anyuser/status/727977310029283333
"Class A CDL Driver - NES Rentals: (#Pensacola, Florida) https://t.co/lpjU1BiSEr #Transportation #Job #Jobs #Hiring #CareerArc",twitter.com/anyuser/status/727977309722939393
@diana_rdrgs @Adweek aw! I will try to join next week!!,twitter.com/anyuser/status/727977309777461248
doesnt kanye have a son? where the boy at lmfao https://t.co/98fe4l2EJa,twitter.com/anyuser/status/727977309718888448
@tulliup how about andys instead?,twitter.com/anyuser/status/727977310272540673
@LiteralTrash47 See two of our favorite films by Master Filmmaker Hayao Miyazaki this wknd. $6 ea or both for $10. https://t.co/8z0H4B4WNG,twitter.com/anyuser/status/727977309605646336
"@DLoesch stop teasing our sister in this fight,she realizes to vote for any body but Trump,or staying home,makes u a commie by proxy!hillary",twitter.com/anyuser/status/727977310943629313
My biggest pet peeve . Hate when people don't say thanks when someone hold the door for them  https://t.co/I4F96cwaGc,twitter.com/anyuser/status/727977310838624256
Today is getting worse and worse :(,twitter.com/anyuser/status/727977311228854272
"Full-Time MCAT Instructor - Columbia, SC - KTP Graduate: (#Columbia, SC) https://t.co/5Ma2Xbu5ZA #Education #Job #Jobs #Hiring",twitter.com/anyuser/status/727977311123832832
@petenajarian @karenfinerman Thank you for taking a realistic stance on $TSLA. The Teslarians always freak when anyone speaks ill of #Tesla,twitter.com/anyuser/status/727977311363080192
"Want to work in #Smithfield, RI? View our latest opening: https://t.co/Omz6RNsWTW #Job #Jobs #Hiring #CareerArc",twitter.com/anyuser/status/727977311132262400
Trump needs to either stop tanning or stop wearing googles because he looks like threw flour on his eyes..,twitter.com/anyuser/status/727977311644069888
@veIvetines I IS I IS!,twitter.com/anyuser/status/727977311442587648
maybe b/c my hair kinda wet,twitter.com/anyuser/status/727977311853645825
This time he getting nuked lol no more love ahha,twitter.com/anyuser/status/727977312075972608
"@Josiphas @5thdimdreamz regardless, what about the obvious money-laundering",twitter.com/anyuser/status/727977312155623424
"BEHOLD THE #NeverTrump
https://t.co/saLlddFDs2",twitter.com/anyuser/status/727977312050946049
trump,twitter.com/anyuser/status/727977312461856768
@Hopkins270 @PrincipalFrench Congratulations Mark!  They are soooooo fortunate to have you!,twitter.com/anyuser/status/727977312122245120
"#Accounting #Job alert: Accounting Clerk | Accountemps | #SouthwestMetro, MN https://t.co/T64dv4aUes #Accountemps #Jobs #Hiring",twitter.com/anyuser/status/727977312340172800
"Can you recommend anyone for this #Healthcare #job? https://t.co/IC5cicKrUm #Austin, TX #Hiring #CareerArc",twitter.com/anyuser/status/727977312847695872
@PFF_Sam @PFF_Steve nice draft podcast. Do you guys see Darius Latham making the #Raiders roster as a UDFA? PFF has him #84 in the big board,twitter.com/anyuser/status/727977313057579008
"Want to work in #LasVegas, NV? View our latest opening: https://t.co/DYFSpBNRGY #Hospitality #hoteljobs #VegasLife #Mandarin #Job #Jobs",twitter.com/anyuser/status/727977312700882944
"#Hospitality #Job in #SanAntonio, TX: Assistant Manager at SONIC Drive-In https://t.co/BZswFIiVWL #SONIC #Jobs #Hiring #CareerArc",twitter.com/anyuser/status/727977313258737665
Brandone Francis-Ramierz will transfer from Florida.,twitter.com/anyuser/status/727977313711861760
thank you thank and thank you again(:  https://t.co/QxcJXxf9Ao,twitter.com/anyuser/status/727977313460097024
@ArielGravely This view!,twitter.com/anyuser/status/727977312944160768
I think those were really good pictures.,twitter.com/anyuser/status/727977313464242176
@DisgustedNYer @JayBK345 The sad thing is you spend 90% of your time listening to sports radio while others have a life and do other things,twitter.com/anyuser/status/727977313443454979
actually me https://t.co/kwZJmYsHNz,twitter.com/anyuser/status/727977313917280256
"#JunctionCity, KS #Hospitality #Job: General Manager at SONIC Drive-In https://t.co/UPoC0sRLsM #SONIC #Jobs #Hiring #CareerArc",twitter.com/anyuser/status/727977314139525121
"This #Retail #job might be a great fit for you: Shift Supervisor Trainee - https://t.co/MKqkygWZSY #Fullerton, CA #Hiring #CareerArc",twitter.com/anyuser/status/727977314563162113
@Manny_III I took a camcorder that day haha Franklin was there too,twitter.com/anyuser/status/727977314613518337
@Zaaariaaa_ thank you gorgeous,twitter.com/anyuser/status/727977314487697408
This is my freaking SISTER!! HAPPY BIRTHDAY I LOVE YOU SO MUCH https://t.co/OPWwGbW0uQ,twitter.com/anyuser/status/727977313673994240
@EDisboxED @LeBronFranchise I gave it a fair shot and it's not bad but I'm not going out of my way to relisten. No standout tracks IMO,twitter.com/anyuser/status/727977315028873216
"@4ArtandAdv on behalf of the Twitterverse, welcome Dionne!",twitter.com/anyuser/status/727977315154546688
"Can you recommend anyone for this #HealthWelfare #job? https://t.co/WS0iYMTMjK #Lampasas, Texas #Hiring",twitter.com/anyuser/status/727977315297169412
@meredthpaige I wish j was already in portland dammi,twitter.com/anyuser/status/727977315813101568
hey you @TyyNE_,twitter.com/anyuser/status/727977315855011840
"Can you recommend anyone for this #Pharmaceutical #job? https://t.co/dpWLuRS32D #KellyJobs #KellyServices #Freeport, TX #Hiring #CareerArc",twitter.com/anyuser/status/727977315766915072
"I somehow got to sanfrancisomco then seattle inthw crew, now im somehwere south of los angelous",twitter.com/anyuser/status/727977316136050688
@Wrestlethon I cannot WAIT for him to be on live TV...,twitter.com/anyuser/status/727977316140261376
"Want to work in #Somers, NY? View our latest opening: https://t.co/KifIWQqqA6 #Pharmaceutical #Job #Jobs #Hiring #CareerArc",twitter.com/anyuser/status/727977316861640704
"@Destisaurus Puberty- ""new phone who dis""",twitter.com/anyuser/status/727977316916154368
This #EmergencyMedicine #job might be a great fit for you: Emergency Medicine-UMEM-Dimensions - Mid-Level... - https://t.co/8RH2SbupAS,twitter.com/anyuser/status/727977317222338561
lost 3 pounds .. wheeeet,twitter.com/anyuser/status/727977317163671552
I have a headache the size of Trumps ego.,twitter.com/anyuser/status/727977317629370368
@bhamcaleb oh boy. Here we go,twitter.com/anyuser/status/727977317696339969
"Want to work in #Austin, TX? View our latest opening: https://t.co/eklivDSJ0P #Accounting #Job #Jobs #Hiring #CareerArc",twitter.com/anyuser/status/727977317323001856
No man is an island entire of itself,twitter.com/anyuser/status/727977317742432256
@ladytess2012 @GMA it breaks my heart too. Life is so unfair!!,twitter.com/anyuser/status/727977317725655040
@ArlingtonISD &amp; @LamarHigh What would I have to do for us to have a  Lacrosse Team?,twitter.com/anyuser/status/727977317625012224
@Papifrancos let me lay a verse on dat jawn,twitter.com/anyuser/status/727977318208114688
When my boyfriend is at practice I'm so bored cause he's the only person I text.,twitter.com/anyuser/status/727977317973139456
I look homeless rn,twitter.com/anyuser/status/727977318161874945
@HighestttHope thank uuu!!,twitter.com/anyuser/status/727977318149410816
"Idc if u bald headed with one arm if your if ur toes look good im tryna get ur number, bitch.",twitter.com/anyuser/status/727977318363344896
Police Called After Student Tries To Buy Lunch With $2 Bill https://t.co/iSNu6WMYOT,twitter.com/anyuser/status/727977318677815296
obama really fucking up my commute home right now. bout to lose a supporter,twitter.com/anyuser/status/727977317608361984
@haaneees10 gonna be Evelyn after she comes home from my house  https://t.co/Lg3YNMOX4s,twitter.com/anyuser/status/727977319550222336
@Nafleky once I felt the ground wiggle in Illinois. for about 3 seconds. at 3AM. it was probably a 3 on the richter scale.,twitter.com/anyuser/status/727977319566991360
@Kpremto88 miss u KP come visit me,twitter.com/anyuser/status/727977319667671040
Well if it rains Friday at least all the schools will be disappointed and have shitty pics together..,twitter.com/anyuser/status/727977320343023616
Temp: 63.5F  W C: 63.5F  Wind:W at 2.8kts Baro: 1010.7mb and Falling slowly Rain today: 0.00in R H: 53%  #wvwx,twitter.com/anyuser/status/727977320624082944
"Linkedin has got to be primed for disruption, no? Would easily switch/start a new professional profile/network if one had momentum",twitter.com/anyuser/status/727977320758312962
@forevergabbyxo okay please let me know the location of said corner,twitter.com/anyuser/status/727977320972206080
@NBCNightlyNews good she's way too GOPe,twitter.com/anyuser/status/727977321014026240
@JodieSweetin I like full house,twitter.com/anyuser/status/727977320988872704
wow that's late this season https://t.co/jtNBXDqyb7,twitter.com/anyuser/status/727977321467138048
I'm sure they will have no problem recruiting. @LukeShurtleff  https://t.co/dm55QkAIWH,twitter.com/anyuser/status/727977320699469825
@jones_kaylie what if you get fooled like 100 times,twitter.com/anyuser/status/727977321509048320
We'll build this love from the ground up,twitter.com/anyuser/status/727977321492295680
@X_SocialMedia_X @67purple @veggie64_leslie @JMJLyons good thing we got Trump to fall back on,twitter.com/anyuser/status/727977321534263296
Smacked https://t.co/IPsZCez48Z,twitter.com/anyuser/status/727977320200450049
"@realtacoking25 @bonniebo40 He'd never get through the nomination process with Trump/McConnell running the show. Venal, hateful people.",twitter.com/anyuser/status/727977321571831808
@m_castelblanco whatcha need girl?,twitter.com/anyuser/status/727977322285039618
This my goal in life  https://t.co/CxjwEjACrv,twitter.com/anyuser/status/727977322788216832
shut up im not obsessed w fargo now,twitter.com/anyuser/status/727977323333492736
"Great time of outreach &amp; fellowship w Logan #PleasePray for Tiffany, Joe, Kenny, &amp; Haley #OperationEvangelism @MBTS https://t.co/8JhUQoMH9k",twitter.com/anyuser/status/727977322729480192
@a2theGLo LOL how many people have asked to be removed by replying all so far?,twitter.com/anyuser/status/727977324172464132
Last hump day as a sophomore #blessup,twitter.com/anyuser/status/727977323761389569
@Mukuuu84 @Jbetterson24 kuski I texted you. And summer is coming up boys! I'll be home Friday for the rest of the summer!!,twitter.com/anyuser/status/727977324134563840
to my brothers hope u make it out ... just know I'm the best nigga and nun u gone fool my city don't slander ur bro https://t.co/XWocmfRTL5,twitter.com/anyuser/status/727977323157327873
I support artists for years &amp; years but I never go to concerts or events for them bc of my Social Anxiety but I really want to meet them all,twitter.com/anyuser/status/727977324642115585
@Danielle_xo23 exactly !,twitter.com/anyuser/status/727977324650487809
Sign the petition: Tell PepsiCo: Close The Loophole In Its New Palm Oil Commitment https://t.co/FdQP8xg6D3,twitter.com/anyuser/status/727977324600172545
fuck off https://t.co/WJJE36ISY1,twitter.com/anyuser/status/727977323157442562
"""Keep entrepreneurs in the conversation about #growingeship."" @iamdellgines. More from @mariaemeyers https://t.co/StS0pj7GSK",twitter.com/anyuser/status/727977324549799940
Can't wait to see this documentary about #Beatles on #Hulu especially with Ron Howard involved @watko @minky505  https://t.co/tT1e8NAeUC,twitter.com/anyuser/status/727977325204230144
@Taee_Fye appreciate it broskiii,twitter.com/anyuser/status/727977325686620168
"""Did you seriously learn morse code to cheat on the orgo exam instead of studying for the exam""
""Gotta learn a foreign language to graduate""",twitter.com/anyuser/status/727977325665652740
Princess Cruises Introduces New Club Class Mini-Suites | Air Plus Travel https://t.co/1faRMGfYuA,twitter.com/anyuser/status/727977325946544128
Learned to not give a f*ck smh,twitter.com/anyuser/status/727977325753573376
My stomach is making weird noises.....pleas stop,twitter.com/anyuser/status/727977326701645824
It's like laughing is my first reaction.,twitter.com/anyuser/status/727977325065723904
College. New people. Drop old people. College. New people. Drop old people.,twitter.com/anyuser/status/727977327032946688
And still my vacation pay didn't make it to my check. Grrr,twitter.com/anyuser/status/727977326923808770
@garrettmoore_15 hit em with the real talk,twitter.com/anyuser/status/727977325489360897
I HAVE ONE MORE FINAL LEFT :)))),twitter.com/anyuser/status/727977327422902272
I'm tired of being sick,twitter.com/anyuser/status/727977327439712256
.@mattyglesias He might well be the vice presidential candidate.,twitter.com/anyuser/status/727977327553073153
Aren't these fucking sick? https://t.co/7p2Mb7i0kA,twitter.com/anyuser/status/727977325443219456
#Religion @ Scott's Computer Repair https://t.co/7nYC3NG94y,twitter.com/anyuser/status/727977327590678528
"@VTjawo repeal it, if they want any chance of staying in office.",twitter.com/anyuser/status/727977328618393600
Aren't these fucking sick? https://t.co/HwlMsm3dap,twitter.com/anyuser/status/727977325392846849
"Awesome list, though I thought you'd add inhuman rampage which put dragonforce in the spotlight https://t.co/i7IaQwrPlq",twitter.com/anyuser/status/727977326579961857
@dhgmf @clydeironworks @holyhoots any way someone from Chicken Shack could bring the @SbCol credentials / check in to Clyde?,twitter.com/anyuser/status/727977328572248065
"I used to think that we were forever ever and I used to say, ""Never say never""",twitter.com/anyuser/status/727977328844914689
Neither do I https://t.co/A8ps3P8FVs,twitter.com/anyuser/status/727977328773627904
@EmmMacfarlane @ColinDavdButler. Conditions in forests in W. Can no doubt far from mind for those in cities esp in E. Can - still snowing?,twitter.com/anyuser/status/727977328697991168
"If your last name starts with H and O, May is your month to renew your tag. Here's some college tags to choose from! https://t.co/5TcpWMsAhi",twitter.com/anyuser/status/727977328131899392
"My minds goin crazy, but I still look hella calm
I've been feelin Under Pressure",twitter.com/anyuser/status/727977329394208768
Pet Talk Pet Trade Troubles https://t.co/np9wC7N8aF,twitter.com/anyuser/status/727977329981575168
"@Gre8tness @Pirates Even last year, AJ was running on empty and had an anomaly for 1st half. Lost in 2nd half. Need starters",twitter.com/anyuser/status/727977329914302464
@ladygaga give me att,twitter.com/anyuser/status/727977329973059585
"#NAB2016 Check out our interview with @Band_Pro IB/E Raptor #Macro Lenses
 #cinematography https://t.co/4SNTUttGWq https://t.co/Lm55kV95oy",twitter.com/anyuser/status/727977329272623104
@TheRock Used your alarm this morning. Didn't completely wake me up so I was dreaming you were singing me good morning sunshine for an hour,twitter.com/anyuser/status/727977329981411328
"Lawn aeration complete

(each plug is bigger than your thumb) https://t.co/kyyIL16UjI",twitter.com/anyuser/status/727977326416257024
"@forumbluegold Nothing against Lou, but he sticks out like a sore thumb with the others.",twitter.com/anyuser/status/727977330325389312
failed my midterm! its calc all over again!,twitter.com/anyuser/status/727977330518327296
I'm so hungry,twitter.com/anyuser/status/727977330711240704
Little Brother gave us a few classic albums,twitter.com/anyuser/status/727977330870726656
do you ever Cry https://t.co/x4yaqGi38L,twitter.com/anyuser/status/727977329994174464
@THEOG_Lik nope but he said I can come to his office tomorrow,twitter.com/anyuser/status/727977330899963905
Today my 2nd graders read The Pirate Substitute so I showed them I Am A Pirate King from Pirates of Penzance #theatre #pirates #broadway,twitter.com/anyuser/status/727977331063586816
@ABC @DavidMuir  Hey David https://t.co/0zRNmW9RZm,twitter.com/anyuser/status/727977330220531712
I KEPT MY SCHOLARSHIP YAYAYAYAY,twitter.com/anyuser/status/727977331604627456
"Y'all make me stay fucked up, I can't deal.",twitter.com/anyuser/status/727977331596382208
I might care a little too much about @HamiltonMusical and that's okay,twitter.com/anyuser/status/727977331839651840
"Today's video features my 1st @ipsy glam bag! Makeup tutorial &amp; first impressions included!
https://t.co/ycSqDP7Vos https://t.co/7dUH2kSdyZ",twitter.com/anyuser/status/727977330799316996
Make u do a double take again @ Mercyhurst University https://t.co/B6bT3dltw8,twitter.com/anyuser/status/727977332112130048
I would love to show you my #listing at 18800 NE 29th Avenue PH9 #Aventura #FL https://t.co/ec2lMRaVjn #realestate https://t.co/lBvmRdDjwq,twitter.com/anyuser/status/727977328597295104
biiiiiishhh. u gonnaaa @HONEYDIJON?,twitter.com/anyuser/status/727977333026590721
"Rachel says she is an emotional photographer, not a portrait photographer. #profspin #docyourworld2016",twitter.com/anyuser/status/727977333106323456
@GingaSnead so obsessed with how pretty you are,twitter.com/anyuser/status/727977332984696833
man it's something when a mf will like pictures from a yr or 2 ago smh like wth are u doing how did u find that and why,twitter.com/anyuser/status/727977333370425344
cuz it's the best movie franchise in the history of movies  https://t.co/XtfYUL0xpe,twitter.com/anyuser/status/727977333395595264
@YUNGSADISTlC I used 2 work there!!!,twitter.com/anyuser/status/727977333991178240
I got offered free dabs and weed yesterday and I did not accept,twitter.com/anyuser/status/727977334234451969
@KIENDYGURL @lonj91 @TheBESTthatdidi @Byg_Tymer @40ozforte like if kayne did a dr dre no detox album i would be ok with it #kaynefatigue,twitter.com/anyuser/status/727977334289092609
"1969, but still.  Afeni Shakur Was A Mother And A Revolutionary https://t.co/fy3r9FQ3EB via @thefader",twitter.com/anyuser/status/727977334268112896
North Star!!!  https://t.co/jV8eODsRyS,twitter.com/anyuser/status/727977334255554561
Former #UVa star Ryan Zimmerman had 3 hits and scored 2 runs in the Nationals 13-2 win this afternoon against the Royals.  #Nats are 19-8.,twitter.com/anyuser/status/727977334419161089
The last song will always be one of my favorite movies,twitter.com/anyuser/status/727977334947483649
I deserve it https://t.co/4MSEsJf3zW,twitter.com/anyuser/status/727977333626314752
