text,url
"@Jocay19 I know, when his head snapped back, I had  a flashback to Perro. Yikes",twitter.com/anyuser/status/726929368119803905
I'm super excited to see my sisters and the rest of my family this weekend!,twitter.com/anyuser/status/726929368958693377
We're #hiring! Read about our latest #job opening here: Store Manager- maurices - https://t.co/wy9rACD5FF #Retail https://t.co/IZMHn429KB,twitter.com/anyuser/status/726929368379846660
@SurferAmber yeah cause I'm using my voice command,twitter.com/anyuser/status/726929369231441920
@rachelhester1 it's your chance  https://t.co/dz1KtwxH09,twitter.com/anyuser/status/726929369646665729
@Landon52344 @bmcMUT BIG QUINT,twitter.com/anyuser/status/726929369780854784
I really just want rio and cuddles,twitter.com/anyuser/status/726929369961234436
"Well, shit... Just make me feel like a thotty, right?",twitter.com/anyuser/status/726929370070306820
@SydSoAmazing damn,twitter.com/anyuser/status/726929370569412609
@RickeySmiffDoe only looking forward to Shane getting control,twitter.com/anyuser/status/726929370502316032
"Get well soon, @WWEAaLLday21! I'm trying so hard not to cry right now.",twitter.com/anyuser/status/726929370674130944
Swear I just b chillin.,twitter.com/anyuser/status/726929371009810432
Damn that looked bad. Hope @WWEAaLLday21 is ok!!! #Payback,twitter.com/anyuser/status/726929371127107584
I got a @Costco membership today and bought a house this weekend sooooo... Yup. I'm an adult now. For sure this time.,twitter.com/anyuser/status/726929371005505536
Looking forward small steps seem slow. But looking backwards in one glance the progress is awesome. #ThinkBIGSundayWithMarsha,twitter.com/anyuser/status/726929371643138049
i don't even know I try anymore,twitter.com/anyuser/status/726929371391385600
This should have been the 2nd main event.,twitter.com/anyuser/status/726929371676680193
Oh man,twitter.com/anyuser/status/726929371676708865
Need a uncle lees back at home forsure.,twitter.com/anyuser/status/726929371429146624
@SoRmusical you knocked my socks off this weekend! Thank you! https://t.co/wuUMcuTAot,twitter.com/anyuser/status/726929368283492352
best drake song is 9am in Dallas. I'll fight you if you say I'm wrong.,twitter.com/anyuser/status/726929372192591872
@ashlie congrats!!!,twitter.com/anyuser/status/726929371462701056
"oh, dear, you look so lost https://t.co/kinCL35U6u",twitter.com/anyuser/status/726929370787532801
@ShandaRenee__ you too Shanda!,twitter.com/anyuser/status/726929372427464704
@tinytyrahxo thanks tyrah !!!!,twitter.com/anyuser/status/726929371915780102
"They don't, they like assholes who make the exception for them https://t.co/YZU1Dvwrx5",twitter.com/anyuser/status/726929372444282880
@AlyssaLynnxxx Happy Birthday to you Ms. Lynn. Glad I didn't miss it.,twitter.com/anyuser/status/726929372758822912
"@MarieeThe @melanypalaciosx 
Ew wth",twitter.com/anyuser/status/726929372926513152
my brother is trying to set me up for failure &amp; get me sent away,twitter.com/anyuser/status/726929373031485441
Wish i could afford to live on my own.,twitter.com/anyuser/status/726929373580898304
@Listen2Lena 0 right now.,twitter.com/anyuser/status/726929373429788673
try me,twitter.com/anyuser/status/726929373832581121
@SoDamnTrue @madiisonhall this could be us,twitter.com/anyuser/status/726929373954211840
@bballbreakdown haha you gotta be honest people can't handle the truth!!! I look forward to more of your playoff breakdowns. #ImIn,twitter.com/anyuser/status/726929374008610816
Way to go! Keep it up kettlevells are the greatest  https://t.co/SbRmSUuAaE,twitter.com/anyuser/status/726929374306512896
I'm so offended Dahvii won't shit in my bathroom @Dahviivader,twitter.com/anyuser/status/726929374478475264
@WeNeedTrump His team is on a mission! They sacrifice for conscience sake. Powerful! My tweeting began because of Trump &amp; our mission. MAGA!,twitter.com/anyuser/status/726929374256222208
Check out @ParkSlopeKid 30 DAYS STRAIGHT VLOGGING LIKE A BEAST https://t.co/ESVgOMhKAY,twitter.com/anyuser/status/726929374436413442
@Nymo Love that place. It's important to preserve those machines!,twitter.com/anyuser/status/726929375287865345
@Edmc28 I bet I know which friend you're asking for.,twitter.com/anyuser/status/726929375116038144
I know last night's show was killer because it nearly killed me #hungover #worthit,twitter.com/anyuser/status/726929375816339456
@ollivialee at least she likes us  https://t.co/aVMSYZc98j,twitter.com/anyuser/status/726929375434706944
Road trip.,twitter.com/anyuser/status/726929376139337728
@Venom_JasonC wtf uncalled for,twitter.com/anyuser/status/726929376546328576
follow me on snap (@wantmorethrills),twitter.com/anyuser/status/726929376571478020
Mohi girls be slaying prom https://t.co/zWq40GtCjw,twitter.com/anyuser/status/726929376126750720
Beep // pussy cat dolls &gt;&gt;&gt;&gt;,twitter.com/anyuser/status/726929376802144256
B day bro https://t.co/01R9cniGR6,twitter.com/anyuser/status/726929376818790400
"My name needs to stop being brought up in such things, so if you could be so kind and for a lack of better words ""shove it up your cunts"" :)",twitter.com/anyuser/status/726929377607438336
Sami and Owens can't be in the right frame of mind right now.,twitter.com/anyuser/status/726929377145950209
